id,ras_pi_id,beacon_id,timestamp,distance,actual_distance
3,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:06:52,205,
6,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:07:00,212,
9,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:07:10,209,
12,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:07:20,213,
15,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:07:30,205,
18,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:07:40,217,
21,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:07:50,209,
24,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:08:00,215,
27,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:08:10,198,
30,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:08:20,206,
33,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:08:30,209,
36,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:08:40,204,
39,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:08:50,202,
42,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:09:00,222,
45,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:09:10,232,
48,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:09:20,224,
51,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:09:30,213,
54,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:09:40,210,
57,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:09:50,206,
60,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:10:00,208,
63,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:10:10,210,
66,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:10:20,216,
69,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:10:30,211,
72,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:10:40,212,
75,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:10:50,217,
78,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:11:00,202,
81,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:11:10,202,
84,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:11:20,217,
87,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:11:30,221,
90,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:11:40,231,
93,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:11:50,221,
96,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:12:00,207,
99,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:12:10,214,
102,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:12:20,220,
105,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:12:30,222,
108,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:12:40,202,
111,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:12:50,206,
114,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:13:00,206,
117,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:13:10,220,
120,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:13:20,217,
123,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:13:30,211,
126,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 19:13:40,223,